,0,1,2,3,4,5,6,7,8,9,10,11
CS 441 Applied Machine Learning,1,1,3,0,4,3,1,2,5,2,4,1
CS 445 Computational Photography,2,0,0,0,0,0,3,0,0,0,0,0
CS 447 Natural Language Processing,0,0,5,0,2,1,0,0,0,0,0,0
CS 598 Deep Learning for Healthcare,0,1,2,1,3,4,3,3,4,3,5,3
CS 410 Text Information Systems,1,0,5,1,4,5,4,2,3,1,2,2
CS 411 Database Systems,5,2,3,5,2,3,0,0,2,5,0,4
CS 412 Introduction to Data Mining,2,3,1,1,4,5,1,3,4,3,2,4
CS 416 Data Visualization,0,0,0,0,1,2,5,0,0,4,0,2
CS 519 Scientific Visualization,4,0,0,4,2,2,5,3,1,3,5,2
CS 425 Distributed Systems ( Cloud Computing Concepts),5,1,0,5,3,2,0,0,0,1,0,3
CS 435 Cloud Networking,5,4,0,5,1,3,0,0,0,2,0,3
CS 437 Internet of Things,5,5,0,5,2,3,0,0,0,0,4,1
CS 498 Cloud Computing Applications,5,4,1,5,4,3,0,0,0,4,0,3
CS 513 Theory and Practice of Data Cleaning,0,0,3,0,5,3,0,0,0,4,0,5
CS 598 Foundations of Data Curation,0,0,0,0,5,0,0,0,0,0,0,4
CS 598 Practical Statistical Learning*,0,0,0,0,4,2,0,4,5,0,0,2
CS 598 Advanced Bayesian Modeling,0,0,0,1,5,1,0,5,5,3,0,0
CS 598 Cloud Computing Capstone*,4,3,0,5,2,0,0,0,0,3,0,2
CS 598 Data Mining Capstone*,1,1,0,1,4,5,0,2,4,3,2,4
CS 418 Interactive Computer Graphics,3,1,0,1,0,0,5,5,0,4,0,0
CS 421 Programming Languages and Compilers,3,3,0,0,3,3,0,0,0,0,0,5
CS 427 Software Engineering I,0,0,0,0,0,3,0,0,0,3,0,5
CS 450 Numerical Analysis,0,0,0,0,3,0,0,5,0,3,0,0
CS 463 Computer Security II,5,0,0,3,0,0,0,0,0,0,0,0
CS 475 Formal Models of Computation,3,0,4,0,0,0,0,0,0,5,0,0
CS 484 Parallel Programming,4,5,0,5,0,0,0,0,0,0,0,3
STAT 420 Methods of Applied Statistics,0,0,0,0,3,0,0,5,4,3,0,0
